name,id,classification,mass,year,latitude,longitude
Abee,6,EH4,107000.0,1952.0,54.21667,-113.0
Agen,392,H5,30000.0,1814.0,44.21667,0.61667
Aïr,424,L6,24000.0,1925.0,19.08333,8.38333
Akyumak,433,"Iron, IVA",50000.0,1981.0,39.91667,42.81667
Alfianello,466,L6,228000.0,1883.0,45.26667,10.15
Allegan,2276,H5,32000.0,1899.0,42.53333,-85.88333
Allende,2278,CV3,2000000.0,1969.0,26.96667,-105.31667
Andura,2298,H6,17900.0,1939.0,20.88333,76.86667
Appley Bridge,2318,LL6,15000.0,1914.0,53.58333,-2.71667
Aumale,4899,L6,50000.0,1865.0,36.16667,3.66667
Ausson,4903,L5,50000.0,1858.0,43.08333,0.58333
Bachmut,4917,L6,18000.0,1814.0,48.6,38.0
Bahjoi,4922,"Iron, IAB-sLL",10322.0,1934.0,28.48333,78.5
Ban Rong Du,4934,"Iron, ungrouped",16700.0,1993.0,16.66667,101.18333
Bandong,4935,LL6,11500.0,1871.0,-6.91667,107.6
Bansur,4936,L6,15000.0,1892.0,27.7,76.33333
Barwell,4954,L5,44000.0,1965.0,52.56528,-1.33972
Bassikounou,44876,H5,29560.0,2006.0,15.78333,-5.9
Baszkówka,4957,L5,15500.0,1994.0,52.03333,20.93583
Bath,4974,H4,21000.0,1892.0,45.41667,-98.31667
Bath Furnace,4975,L6,86000.0,1902.0,38.25,-83.75
Beardsley,4984,H5,16000.0,1929.0,39.8,-101.2
Beaver Creek,4986,H5,14000.0,1893.0,51.16667,-117.33333
Benguerir,30443,LL6,25000.0,2004.0,32.25,-8.15
Beni M'hira,5018,L6,19000.0,2001.0,32.86667,10.8
Bensour,5024,LL6,45000.0,2002.0,30.0,-7.0
Béréba,5028,Eucrite-mmict,18000.0,1924.0,11.65,-3.65
Bilanga,5045,Diogenite,25000.0,1999.0,12.45,-0.08333
Bjurböle,5064,L/LL4,330000.0,1899.0,60.4,25.8
Boguslavka,5098,"Iron, IIAB",256000.0,1916.0,44.55,131.63333
Braunau,5133,"Iron, IIAB",39000.0,1847.0,50.6,16.3
Bruderheim,5156,L6,303000.0,1960.0,53.9,-112.88333
Bur-Gheluai,5169,H5,120000.0,1919.0,5.0,48.0
Bursa,5177,L6,25000.0,1946.0,40.2,29.23333
Butsura,5183,H6,29000.0,1861.0,27.08333,84.08333
Buzzard Coulee,48654,H4,41000.0,2008.0,52.996,-109.84817
Cabezo de Mayo,5185,L/LL6,25000.0,1870.0,37.98333,-1.16667
Cabin Creek,5186,"Iron, IIIAB",48500.0,1886.0,35.5,-93.5
Campos Sales,5249,L5,23680.0,1991.0,-7.03333,-40.16667
Cangas de Onis,5252,H5,34000.0,1866.0,43.38333,-5.15
Castrovillari,5295,Stone-uncl,15000.0,1583.0,39.8,16.2
Chajari,5316,L5,18300.0,1933.0,-30.78333,-58.05
Chantonnay,5325,L6,31500.0,1812.0,46.68333,1.05
Charsonville,5329,H6,27000.0,1810.0,47.93333,1.56667
Charwallas,5330,H6,12000.0,1834.0,29.48333,75.5
Château-Renard,5332,L6,30000.0,1841.0,47.93333,2.91667
Chelyabinsk,57165,LL5,100000.0,2013.0,54.81667,61.11667
Chergach ,47347,H5,100000.0,2007.0,23.69639,-5.01472
Colby (Wisconsin),5395,L6,104000.0,1917.0,44.9,-90.28333
Conquista,5418,H4,20350.0,1965.0,-19.85,-47.55
Cumberland Falls,5496,Aubrite,17000.0,1919.0,36.83333,-84.35
Dahmani,5504,LL6,18000.0,1981.0,35.61667,8.83333
Demina,6649,L6,16400.0,1911.0,51.46667,84.76667
Dergaon,6664,H5,12500.0,2001.0,26.68333,93.86667
Desuri,6693,H6,25400.0,1962.0,25.73333,73.61667
Devgaon,6694,H3.8,12000.0,2001.0,19.0,81.0
Dhajala,6698,H3.8,45000.0,1976.0,22.37778,71.42722
Dhurmsala,7640,LL6,32000.0,1860.0,32.23333,76.46667
Djati-Pengilon,7652,H6,166000.0,1884.0,-7.5,111.5
Djoumine,7657,H5-6,10000.0,1999.0,36.95,9.55
Dong Ujimqin Qi,7706,Mesosiderite,128800.0,1995.0,45.5,119.03333
Dresden (Ontario),7731,H6,47700.0,1939.0,42.52,-82.26
Durala,7750,L6,13200.0,1815.0,30.3,76.63333
Eagle,7760,EL6,10000.0,1947.0,40.78167,-96.47167
El Idrissia,7807,L6,10000.0,1989.0,34.41667,3.25
El Paso de Aguila,45977,H5,17226.0,1977.0,25.37,-97.37
Elbogen,7823,"Iron, IID",107000.0,1399.0,50.18333,12.73333
Elenovka,7824,L5,54640.0,1951.0,47.83333,37.66667
Ensisheim,10039,LL6,127000.0,1491.0,47.86667,7.35
Ergheo,10044,L5,20000.0,1889.0,1.16667,44.16667
Estherville,10059,Mesosiderite-A3/4,320000.0,1879.0,43.41667,-94.83333
Farmington,10074,L5,89400.0,1890.0,39.75,-97.03333
Farmville,10075,H4,56000.0,1934.0,35.55,-77.53333
Fermo,10091,H3-5,10200.0,1996.0,43.18111,13.75333
Fisher,10107,L6,17600.0,1894.0,47.81667,-96.85
Forest City,10119,H5,152000.0,1890.0,43.25,-93.66667
Forest Vale,10120,H4,26000.0,1942.0,-33.35,146.85833
Forsyth,10164,L6,16300.0,1829.0,33.01667,-83.96667
Fuhe,52412,L5,23000.0,1945.0,31.47556,113.56694
Fukutomi,10836,L5,11620.0,1882.0,33.18333,130.2
Gifu,10914,L6,14290.0,1909.0,35.53333,136.88333
Girgenti,10917,L6,18000.0,1853.0,37.31667,13.56667
Glasatovo,10926,H4,152000.0,1918.0,57.35,37.61667
Gross-Divina,11207,H5,10500.0,1837.0,49.26667,18.71667
Gualeguaychú,11432,H6,22000.0,1932.0,-33.0,-58.61667
Guareña,11439,H6,39000.0,1892.0,38.73333,-6.01667
Gujba,11449,CBa,100000.0,1984.0,11.49167,11.65833
Gursum,11465,H4/5,34650.0,1981.0,9.36667,42.41667
